YBR127c YGR117c
YBR127c YOL018c
YBR127c YOR070c
YBR128c YPL120w
YBR129c YLR288c
YBR130c YJL071w
YBR130c YLR310c
YBR130c YMR047c
YBR131w YGR229c
YBR131w YML001w
YBR133c YDL154w
YBR133c YER087w
YBR133c YJL187c
YBR133c YKL101w
YBR133c YNL094w
YBR133c YPL016w
YBR135w YBR160w
YBR135w YER102w
YBR135w YGR108w
YBR135w YPL256c
YBR136w YDR499w
YBR136w YGR180c
YBR136w YIR009w
YBR137w YKR083c
YBR137w YMR047c
YBR137w YNL189w
YBR137w YOR007c
YBR137w YOR127w
YBR141c YDR372c
YBR141c YER059w
YBR141c YGL091c
YBR143c YDR172w
YBR143c YMR080c
YBR143c YPL043w
YBR144c YDR034c
YBR144c YMR047c
YBR145w YDR034c
YBR145w YMR047c
YBR149w YDL211c
YBR149w YNL128w
YBR152w YJR091c
YBR154c YDL140c
YBR154c YFL023w
YBR154c YOR116c
YBR155w YDR463w
YBR155w YJR032w
YBR155w YJR091c
YBR155w YPL240c
YBR158w YDR111c
YBR160w YDL020c
YBR160w YDL155w
YBR160w YDR245w
YBR160w YFL029c
YBR160w YFR052w
YBR160w YGL178w
YBR160w YJL194w
YBR160w YLR079w
YBR160w YLR210w
YBR160w YMR199w
YBR160w YMR273c
YBR160w YNL064c
YBR160w YNL189w
YBR160w YOR142w
YBR162c YBR192w
YBR162c YGR249w
YBR162c YNL217w
YBR162c YOL028c
YBR162w-a YIL027c
YBR162w-a YLR090w
YBR162w-a YML108w
YBR164c YDL077c
YBR164c YDL100c
YBR164c YDR027c
YBR164c YDR108w
YBR164c YDR126w
YBR164c YDR136c
YBR164c YDR137w
YBR164c YDR202c
YBR164c YDR203w
YBR164c YER083c
YBR164c YER122c
YBR164c YGR105w
YBR164c YJL154c
YBR164c YJR032w
YBR164c YJR033c
YBR164c YKL118w
YBR164c YKL119c
YBR164c YKR001c
YBR164c YKR020w
YBR164c YLR039c
YBR164c YLR242c
YBR164c YLR261c
YBR164c YLR262c
YBR164c YLR447c
YBR164c YMR054w
YBR164c YMR123w
YBR164c YNL041c
YBR164c YNL043c
YBR164c YNL051w
YBR164c YNL296w
YBR164c YOL018c
YBR164c YOR069w
YBR164c YOR070c
YBR164c YOR132w
YBR165w YDR054c
YBR166c YGR229c
YBR166c YLR447c
YBR168w YER081w
YBR169c YKL130c
YBR170c YDL126c
YBR170c YER081w
YBR170c YGR048w
YBR170c YOR254c
YBR171w YBR234c
YBR171w YGR078c
YBR171w YLR200w
YBR171w YLR229c
YBR171w YML094w
YBR172c YIL004c
YBR172c YLR116w
YBR172c YPL085w
YBR173c YIL034c
YBR173c YML032c
YBR174c YDR363w
YBR174c YJR091c
YBR174c YNL298w
YBR175w YGR249w
YBR175w YHR177w
YBR175w YIL160c
YBR175w YLR085c
YBR175w YNL298w
YBR175w YPR086w
YBR176w YGL070c
YBR176w YGL127c
YBR176w YLR291c
YBR176w YLR347c
YBR176w YML064c
YBR176w YNL189w
YBR176w YPL070w
YBR178w YHR122w
YBR179c YHR041c
